supplier,tariff,rate_p_per_kwh,rate_type,import_supplier_required,installer_or_purchase_required,battery_required,system_size_public_summary,checked_date,source_url,notes
Good Energy,Solar Savings Exclusive,25,fixed for 12 months,yes,yes,yes,not stated on public tariff summary,2026-07-10,https://www.goodenergy.co.uk/products/export-tariffs/,For customers whose solar panels and battery were installed by Good Energy Solar; rolls to Solar Savings after the fixed term.
OVO,SEG Install Exclusive - solar and battery,20,published rate; current terms govern,yes,yes,yes,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,OVO must install the solar panels and home-storage battery; other published criteria also apply.
EDF,Export Exclusive 12m V3,18,12-month offer; term sheet governs price status,yes,yes,no,50kW or less,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,"Qualifying EDF or Contact Solar route for solar, battery or both after 2 March 2026; see the tariff terms and term sheet."
E.ON Next,Next Export Premium v3,17.5,fixed for 12 months,not_stated,yes,no,residential renewable generation system up to 15kW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,For a solar and/or battery installation by E.ON Installation Services from 10 November 2025; the public summary does not state an import-supply requirement.
EDF,Export 12m,15,fixed for one year,yes,no,no,solar PV; public page directs readers to eligibility criteria,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,"Available to existing residential EDF electricity customers, subject to published eligibility and terms."
OVO,SEG Install Exclusive - solar only,15,published rate; current terms govern,yes,yes,no,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,OVO must install the solar panels; other published criteria also apply.
E.ON Next,Next Export Exclusive v3,13,fixed for 12 months,yes,no,no,residential renewable generation system up to 15kW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,"Requires an E.ON Next import tariff, excluding the time-of-use tariffs identified by E.ON Next."
Good Energy,Solar Savings,12,variable,yes,no,no,not stated on public tariff summary,2026-07-10,https://www.goodenergy.co.uk/products/export-tariffs/,Available to Good Energy electricity-supply customers with solar panels; the variable rate can move up or down.
Octopus Energy,Outgoing Octopus,12,variable flat rate,yes,no,no,eligible renewable generation and export metering required,2026-07-10,https://octopus.energy/export-tariffs/,Requires an Octopus import account and a compatible import tariff; rates can change with notice.
OVO,SEG Beyond Exclusive,12,published rate; current terms govern,yes,no,no,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,For OVO electricity-supply customers; the installation does not have to have been supplied by OVO.
British Gas,Export Premium,12,variable,yes,no,no,systems up to 15kW,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,British Gas must supply the property's electricity; exclusions in the full terms apply.
British Gas,Export Extra,8,variable,yes,no,no,systems over 15kW,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,British Gas must supply the property's electricity; exclusions in the full terms apply.
E.ON Next,Next Flex Export v1,6,variable,not_stated,no,no,renewable generation system up to 5MW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,The public eligibility summary describes new and existing customers but does not state an import-supply requirement.
EDF,SEG Export Variable Value,5.6,variable,yes,no,no,eligible generation up to 5MW; tariff-specific limits can apply,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,Exclusive to EDF electricity customers; EDF says the rate can move up or down.
Octopus Energy,Smart Export Guarantee,4.1,flat rate,no,no,no,eligible renewable generation and export metering required,2026-07-10,https://octopus.energy/export-tariffs/,Octopus describes this as an export-only route that can be combined with another supplier's import tariff.
OVO,SEG,4,published rate; current terms govern,no,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,OVO says the home's electricity supply can be with any provider.
EDF,SEG Export Variable,3,variable,no,no,no,eligible generation up to 5MW; tariff-specific limits can apply,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,Available whether EDF or another supplier provides the home's imported electricity.
British Gas,Export SEG,3,variable,no,no,no,public page describes the route for non-British-Gas customers and other specified cases,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,"British Gas says this rate applies if it does not supply the property's electricity, and to certain other applicant categories."
